label,N_base,Correct_base,Recall_base,N_composite,Correct_composite,Recall_composite
1,41,36,0.8780487804878049,78,60,0.7692307692307693
2A,12,3,0.25,73,12,0.1643835616438356
2B,7,1,0.14285714285714285,27,1,0.037037037037037035
2C,7,0,0.0,25,1,0.04
2D,19,7,0.3684210526315789,30,8,0.26666666666666666
3A,4,0,0.0,21,0,0.0
3B,19,16,0.8421052631578947,58,35,0.603448275862069
3C,17,0,0.0,29,0,0.0
3D,8,0,0.0,20,0,0.0
4A,10,8,0.8,57,22,0.38596491228070173
4B,13,1,0.07692307692307693,57,6,0.10526315789473684
5,9,2,0.2222222222222222,49,18,0.3673469387755102
6A,0,0,,28,1,0.03571428571428571
6B,2,0,0.0,10,0,0.0
6C,0,0,,2,0,0.0
